,Place,Column No.,Paragraph
0,"['Bottenigo', 'estuario di YeneziaX']",170,"vadino suso quanto pili le pono, et habiNo più corso a le Ucune nostre, et siano causa de extirpar tutte le  canne nassule si nel dicto alveo novo come in ditti 113*  canali, cbe sarà total beneficio non solum di le La-  cune nostre predite, ma etiam purificazion de Taere  di questa nostra cita. Nec non sia cavala la fossa  chiamata la Gradenica, la qual é apresso la strata re-  cto tramite fino al canal di san Lorenzo di Mestre.  Et da mo' sia preso : che in primis et ante om-  nia principiar si debia el ditto cavamento novo di  le pertege 301 1 cum li arzeri potenti da resister da  quella banda a le aque dolze che penetrar non pos-  sino in la lacuna nostra, et similiter che da quella  banda fortificar et reparar se debia li arzeri de la  Brenta per il medemo effeclo, et similiter la De-  steoa cbe va a la via del Dexe, come di sopra e dicto.  Quo facto^ remover se debia el Caro et Tarzere dove  é fuiKlato esso Caro de Margera per aprir la via a le  aque salse, et non pi*ima per alcun modo : decbia-  rando che tutte le terre che al presente non sono  lavorale non se possino redur a cultura, ma riman-  gino tutte a pradi, dovendose però obturar et stro-  par tutte le gore et sboradori cbe cadauna di dito  terre lavorate bavesseno, le qual butasseno in alcun  de li canali preditti, cussi da la banda del Botenigo  verso Mestre, come da li arzeri de la Brenta fino al  Botenigo, da la dita cava in zoso verso le acque  salse, aziò iK)n sia dannificata la Laguna nostra, sotto  irreniissibel pena de perder le terre, le qual ipso  facto se intendino esser confiscato in la Signoria  nostra, un terzo de le qual sìa de li acusador e li  doi terzi de V oiieio nostro sopra le Aque, da esser  convertilo el tracio de quelle a beneficio di la La-  cuna nostra. Et siano tonuti li Savii nostri sora le  aque presenti e futuri circha diete |)ene a exequir la  presento deliberation, sotto debito de sacramento et  pena di ducati 500. "
1,"['Brussa', 'Bursa', 'Asia minore']",645,"Di Caramamelh corsaro prese li navìUi di Ondia, disseno li bassi è ribello dil Signor e saria boadia, disseno li bassi è ribello dil Signor e saria boa la Signoria lo impedisse non podesse andar in Ba^ baria. E querelando esso Baylo di le 3 fusto prese li gripi dì zeDabrìi et arzeoU vivi sora Seda, eome par  la Signoria habi scrito di 20 NovembriOi qual non  r ha aute, risposano è ribelio di! Signor turco, et  Peri basse e Mustaia bassi replicò far arniada lutti  do coDtra diti corsari, e meter li horoeni suso, come  scrisse, per espurgar il mar da corsari. Scrive, il  caso di Simplicio Rizo, che ba porta via assa' danari,  li ba dà assa' da che far. Ha oblenuto la liberation  di le robe di sier Andrea Morexiui di Àleppo e auto  letere a Bursa le consoni al suo nontio, el qual  iiontio dil Horexini é partito per andarle tuor. Uà  inteso barze francese a Baruto ba posto in terra  ma non hanno fatto nulla, et che francesi su le aque  386 di Candia tolse alcuni vini di nostri naviglii con dir  erano di zudei. Scrive, che si provedi di danari per  le pension dil 2ante e dil tributo di Cipro. Ha aviso  di Alepo, il Zacaria^ vene li con il tributo, poi ritornò  in Cipro etc. Scrive, si elezi il suo suecessor. "
2,"['Brussa', 'Bursa', 'Asia minore']",645,"Dil dito, di P. Come eri fo chiama a la Porta  da li bassa e questo per letere aule di saozachi, quali  si doleno di Cataro e Budua li fanno danni a li con-  fini e dà recapito a li carazari di Signor, et monslrò  le letere dil sanzacho di Carzego. Unde lui Baylo ju-  stificò non era il vero, et perchè ditte letere pareva  si dolesse di questi danni iati zi assà tempo e anni,  el Bailo disse, V arabasador dil Signor turco fo li e  justifìcò non era il vero, et ave fede dil chadi, e  questo é per la maligniti dil sanzacho qual voria  ogni bora si presentasse, ma ha una bocha troppo  granda ; el Perì bassi disse è homo di praticha etc  Poi disse, scrive a quelli confina con Àran che non  usino termini di guerra etc. - "
3,"['Brussa', 'Bursa', 'Asia minore']",645,"Di Franga, dil Badoer orator nostro, date  a Cales, a dì 6 Fevrer. Come a di 4 ricevete no-  stre di 17 dil passato, qual è sta molto tarde. Mandò  il Secretarlo a Remorantino, dove è il Re, per comu-  nicarle a la Regia Maesti. Parlò al Gran canzelier e  a monsignor TÀrmirajo prima, el parlando di questi  fanti spagnoli, disse dì Ferara non é da temer. El  Gran canzelier disse si manderi la zente verso Par-  ma e Piasenza, e l'Armirajo disse, si sguizari caleri,  il Re conduri altratanti. Poi introduto esso Secreta-  no in camera dil Re, e letoli dicti avisi, non li fece  risposta, perchè sopravene Madama sua madre, con  la qual parloe. E zercha Torator di Hongaria venuto  a Venelia, disse a li do sopranominati, quali non li  disseno altro, e di la scusation, non era vero la fama  data dil conte di Chariati dovea venir a Venelia; siche  di le cosse dil Papa el impresa voy far de li, non si  parla alcuna cessa, solum dil nonlio dil governador  di Zenoa e di nova di Ferara per sospeto ì hanno. Eri zoose monsignor San Marzeo, vien di Roma qui, el volendo sa|Kr quello riporta, ha inleso il Papa non voi dar lo episcopato di Costanza al reverendissimo Salerno^ et quello di Bruges al confessor dilsimo Salerno^ et quello di Bruges al confessor dil Re, ni etiam lo episcopato di Tolosa e Salces; siche è sti mal esaudito. Scrive, il re di Navara è partito, va a Lese da suo avo paterno, vechio, qual è indisposto, et forsi fari qualche sublevation a quelli con-sposto, et forsi fari qualche sublevation a quelli confini.- Scrìve, il reverendissimo cardinal di Lorena sifini.- Scrìve, il reverendissimo cardinal di Lorena si parte, va a Roma, fari il transito per Venezia, dice suo padre fo a nostro stipendio et è zentìlhomo no- 386 * Siro. Manda letere di TOrator nostro in Anglia."
4,['Burano'],120,"Fu posto, ozi, per li Consieri, una taja per letere di sier Andrea Foscolo podestà et capitano di Crema, di 2 dil presente, di certo homicidio seguito perma, di 2 dil presente, di certo homicidio seguito per Batista dil Soldato in la persona dil qu. Joanne Campagnalio ut in litteris: che 'I possi di novo proclamarlo et meterio in bando di terre e lochi, e di questa cita, et con taja vivo lire 600, morto lire 300, e lì soi beni siano conGscati ut in parte. Ave 1 47 di si, 7 di no. 78 In questo zorno, per Colegio, fo scrito a l'Orator nostro in Corte: come il Pontefice za do anni pertor nostro in Corte: come il Pontefice za do anni per sue bolle ne rafermò la eletion di piovani di questa ella da esser confirmati per Soa Santità, ma fo pretermesse de nominar le Contrade, videlicet Mu-termesse de nominar le Contrade, videlicet Mu nì n, Mazorbo, Torzelo e Malamocho, che sono an-  nesse con questa cita nostra; pertanto voy instar il  Papa dechiarì questo instesso modo si observi in li  piovani da esser electi in le pieve di ditte Contrade.  Et a di 18 di questo, fo sento a sier Alvise Sa-  lamon podestà di Torzelo, in risposta di soe di 16,  zercha il monasterio di San Cornelio et San Qpriano  di Buran di mar, qual va in mina perchè non si  celebra, e sarra bon farne provision etc. Però li fu  scrito, per Colegio, sequestri le intrade e di danari  sia reparala la chiesa et monasterio che'l non rovini.  Itemj a di 17 fo scrito a sier Alvise Gradenigo  orator nostro in corte : come parli al Papa perché  ditto monasterio è in comenda a domino Gratian di  Gratiani, qual è residente li a Roma e raro vei nun-  quatn si celebra e tutto va in mina, et il meglio  sarta che uno monasterio di done observante di San  Arian apresso Torzelo, le qual per il mal ajere che  vi é stanno pid di la Vs dil tempo esse donne fuora  del ditto monastero, perchè vedi il Papa concedi  ditto monasterio di San Cornelio et Cypriano qual  sia unido con San Arian, con dar pension onesta al  prefato domino Gratian, et questa bona opera sarà  la reformation dil monastero di San Arian. "
5,['Burano'],120,"Fo scrito, per Colegio, a sier Gabriel Zigogna  podestà di Budua : come per sue si ha inteso la ele-  tion in soracomito di Marin Cristich, il qual è veoulo  a la Signoria, e portò letere del sanzacho di Monte-  negro, per le qual è contento si trazi horoeni dil suo  paese e zurme per armar la ditta galla, pertanto ne  piace summamenle, e voy con letere ringratiar eie. "
6,['Burano'],120,"Di Comtantinopoli, vene letere di sier To- 78""  ma Contarini baylo nostro, date in Pera, a dì  8 Lujo. Qual zonse essendo Prcgadi suso, et non fo  lete, portate per sier Zuan Donado qu. sier Alvise,  venuto merchadante de li. "
7,['Burano'],120,"Et andò prima in renga sier Zorzi Corner el  cavalier, procurator, savio dil Consejo. Venuto  zoso, sier Zorzi Emo procurator parloe laudando  le opinion di Savii, non fazando molta stima di "
8,"['Chioggia', 'Chioza']",147,"guato da lutli li doclorì exceplo sier Nicolò Michiel,  né altri vi Tue. Hor questo referite in Col^o la con-  dition di Cbiaza, la qoal Ta anime 10 milia, di quali  è liomeni alende al navichar n. 1000, vanno per  luito con le loro tnrche da 600 e più stera n. 40,  e vanno securi dal mar 6no in Candia e in Alexan-  dria ; dubitano di corsari sono da zercha barche . . .  ei cùndusive, Chioza é povera. Di l' ini rada non  disse, per esser di la comunità. La Signoria ba so-  ìum le 30 et 40 per 100, e li danari di le dezime  per se quando le se meteno. Disse di sali, come sono  saline n. S34, di le qual 94 é andate di mal, et cbe  non si lavora il resto con danno grandissimo di la  Signoria nostra, per una parte presa nel Consijo dil  sai dil 1518 cbe non voi si fan sai bianco si non  certo numero ; la qual parte è causa non si fazi.  Disse poi altre particularìtà non da conto però, et  fo laudato dal Doxe, justa il consueto.  96 Et sier Sebaslian Moro, venuto Provedador di  Gorfù, compite de referìr la sua l^tione el di quelle  cosse di Gorphù ; e come ha trova gran desordeni ;  le porte erano serade per uno che stava nel borgo,  et si poteva dir in le so* man era Coriù, e si mera-  vcja non sia stì robato. Ha posto ordine le chiave  sarà in man dil retor, la note. Disse aver fato una "
9,"['Chioggia', 'Chioza']",147,"Item^ è pochi fanti, solum 100. Bisogneria altri  100 e assa' artellarie ut patei^ ma bisogna man-  darli polvere, non ha suflficientia. Ha foto certi ma-  gazeni eonzar dove dite artellarie sarano custodite.  Disse di le fabriche quello é fatto el quello manca e  far, et saria bon eonzar uuo castello dito San Anzolo,  t^gneria 300 anime dentro di 1* ixola. "
