,Place,Column No.,Paragraph
0,"['Brussa', 'Bursa', 'Asia minore']",645,"Di Caramamelh corsaro prese li navìUi di Ondia, disseno li bassi è ribello dil Signor e saria boadia, disseno li bassi è ribello dil Signor e saria boa la Signoria lo impedisse non podesse andar in Ba^ baria. E querelando esso Baylo di le 3 fusto prese li gripi dì zeDabrìi et arzeoU vivi sora Seda, eome par  la Signoria habi scrito di 20 NovembriOi qual non  r ha aute, risposano è ribelio di! Signor turco, et  Peri basse e Mustaia bassi replicò far arniada lutti  do coDtra diti corsari, e meter li horoeni suso, come  scrisse, per espurgar il mar da corsari. Scrive, il  caso di Simplicio Rizo, che ba porta via assa' danari,  li ba dà assa' da che far. Ha oblenuto la liberation  di le robe di sier Andrea Morexiui di Àleppo e auto  letere a Bursa le consoni al suo nontio, el qual  iiontio dil Horexini é partito per andarle tuor. Uà  inteso barze francese a Baruto ba posto in terra  ma non hanno fatto nulla, et che francesi su le aque  386 di Candia tolse alcuni vini di nostri naviglii con dir  erano di zudei. Scrive, che si provedi di danari per  le pension dil 2ante e dil tributo di Cipro. Ha aviso  di Alepo, il Zacaria^ vene li con il tributo, poi ritornò  in Cipro etc. Scrive, si elezi il suo suecessor. "
1,['Burano'],120,"Fu posto, ozi, per li Consieri, una taja per letere di sier Andrea Foscolo podestà et capitano di Crema, di 2 dil presente, di certo homicidio seguito perma, di 2 dil presente, di certo homicidio seguito per Batista dil Soldato in la persona dil qu. Joanne Campagnalio ut in litteris: che 'I possi di novo proclamarlo et meterio in bando di terre e lochi, e di questa cita, et con taja vivo lire 600, morto lire 300, e lì soi beni siano conGscati ut in parte. Ave 1 47 di si, 7 di no. 78 In questo zorno, per Colegio, fo scrito a l'Orator nostro in Corte: come il Pontefice za do anni pertor nostro in Corte: come il Pontefice za do anni per sue bolle ne rafermò la eletion di piovani di questa ella da esser confirmati per Soa Santità, ma fo pretermesse de nominar le Contrade, videlicet Mu-termesse de nominar le Contrade, videlicet Mu nì n, Mazorbo, Torzelo e Malamocho, che sono an-  nesse con questa cita nostra; pertanto voy instar il  Papa dechiarì questo instesso modo si observi in li  piovani da esser electi in le pieve di ditte Contrade.  Et a di 18 di questo, fo sento a sier Alvise Sa-  lamon podestà di Torzelo, in risposta di soe di 16,  zercha il monasterio di San Cornelio et San Qpriano  di Buran di mar, qual va in mina perchè non si  celebra, e sarra bon farne provision etc. Però li fu  scrito, per Colegio, sequestri le intrade e di danari  sia reparala la chiesa et monasterio che'l non rovini.  Itemj a di 17 fo scrito a sier Alvise Gradenigo  orator nostro in corte : come parli al Papa perché  ditto monasterio è in comenda a domino Gratian di  Gratiani, qual è residente li a Roma e raro vei nun-  quatn si celebra e tutto va in mina, et il meglio  sarta che uno monasterio di done observante di San  Arian apresso Torzelo, le qual per il mal ajere che  vi é stanno pid di la Vs dil tempo esse donne fuora  del ditto monastero, perchè vedi il Papa concedi  ditto monasterio di San Cornelio et Cypriano qual  sia unido con San Arian, con dar pension onesta al  prefato domino Gratian, et questa bona opera sarà  la reformation dil monastero di San Arian. "
2,"['Chioggia', 'Chioza']",147,"guato da lutli li doclorì exceplo sier Nicolò Michiel,  né altri vi Tue. Hor questo referite in Col^o la con-  dition di Cbiaza, la qoal Ta anime 10 milia, di quali  è liomeni alende al navichar n. 1000, vanno per  luito con le loro tnrche da 600 e più stera n. 40,  e vanno securi dal mar 6no in Candia e in Alexan-  dria ; dubitano di corsari sono da zercha barche . . .  ei cùndusive, Chioza é povera. Di l' ini rada non  disse, per esser di la comunità. La Signoria ba so-  ìum le 30 et 40 per 100, e li danari di le dezime  per se quando le se meteno. Disse di sali, come sono  saline n. S34, di le qual 94 é andate di mal, et cbe  non si lavora il resto con danno grandissimo di la  Signoria nostra, per una parte presa nel Consijo dil  sai dil 1518 cbe non voi si fan sai bianco si non  certo numero ; la qual parte è causa non si fazi.  Disse poi altre particularìtà non da conto però, et  fo laudato dal Doxe, justa il consueto.  96 Et sier Sebaslian Moro, venuto Provedador di  Gorfù, compite de referìr la sua l^tione el di quelle  cosse di Gorphù ; e come ha trova gran desordeni ;  le porte erano serade per uno che stava nel borgo,  et si poteva dir in le so* man era Coriù, e si mera-  vcja non sia stì robato. Ha posto ordine le chiave  sarà in man dil retor, la note. Disse aver fato una "
3,"['Chioggia', 'Chioza']",298,"Poi pariò sier Francesco Bragadin savio dil Con*  segio, in &vor di la lelera, dicendo questa opinion  dil Trun é molto subita, et visto Deeem Qm$ilium  sequitwr preBsmtiamy et che quando faremo questo  depotentia^ il Papa ne scomunicherà ; ma prima é  bon veder si de plano polemo oblenir V intento no*  Siro, che mai mancherà a far de potentia^ biasi-  mando mollo il Trun. Poi parlò sier Harin Morezini  é sora le Aque, qual contradise elici» a la lelera, o  si doveria for gajardamente contra questi frati che  voi predichar contra questo Stado, ma semo miti ;  dicendo il Dominio nostro non dia aver alcun rispeto  quanto a far una cossa li toma la salvation di la sua  terra, e che le Lagune é le mure di Venelia.Per que-  sto aterar V ha iato i frati. Chiosa é in terra; con al-  tro parole. Poi parlò sier Gasparo lialipiero, é sora  le Aque, etiam contra la lelera e contra Topinion di 187  sier L4ica Trun ; el volendo continuar a pariar, sier  Marco Uinio e sier Hironimo da cha* da Pexaro con-  sieri messeno, elenio é Thora tarda, et per consultar  meglio la teiera si ha a scriver a Roma é meglio  questa maleria indusiar; el cussi senza altra baUo-  talion li Savii fono contenti. Et questo vuol li frati,  che la cossa vadi in longo. Et si vene zoso di Pregadi eoo gruidiaBmiì cndeon comanda di qoesla maleria, a bore do di noie."
4,"['Chioggia', 'Chioza']",303,"Fo aerilo a TOrator nostro in eorte^ digi al magnifico domino Zuan Hemanuel orator di la Cesareagnifico domino Zuan Hemanuel orator di la Cesarea Maestà, havemo aerilo a Verona fazi diligente inquisilion dil caso sequito a la Chiusa, et hesseodo, fazisilion dil caso sequito a la Chiusa, et hesseodo, fazi relassar. Fo sento eri a sier Alvise Bod dolor podestà di  Chiosa, S corieri vieo di Fioreotia si doleoo de li of-  ficiali de li TieD aperte le boizele di le ieiere; dod  (iizietc.  189* Adì 19. La inatiiia doq (o Dulia da conto di  far nota. "
5,['Dese'],169,"Poi intrò che al partir suo la Cristiaoisiiiia Maestà de more li havia donato una catena d'oro, poieastà de more li havia donato una catena d'oro, poiea valer zercha scudi 450, la qual però ooo ta porlo io Pr^di, e sopra questo parlò lungamente, dieeado é sta preson in Pranza, e pagata la taja e loHoK ooo prexon li fu dato domino Andrea Leslaoer, qoal si tolse taja ducati 2000, el però lui tolse doeaU aOOQ, poi fo lassalo e lui pagò li ducati 3000 di tejaL È stato in questa l^tion apresso anni tre, e io questi coloqui di reali ha speso assai, perché, olirà le spei^ di viazi, si convien far honor a chi si rapreseote. et ha speso assa* dil suo; però reehiedeva, per teole fatiche che mai ha recusalo de andar a servir questo Stado, per il suo star in prexon in Pranza, aziò sia conosuto il suo servir esseme sta grato, sicome fii fato a domino Marco Dandolo venuto orator dil re Cristianissimo, edam slato prexon, che li fo donado M «a cadena, cussi suplieava questo segno fusse falò io  M ui, eoo molle parole ben dite a proposilo. Poi laudò  fironinao da Canal suo secrelario, qua! era li pre-  ^ che beo si havia porlato eie. Et compito, vene  di renga : laudato de more. "
6,['Dese'],169,"lontanar de le pallude nostre le aque dolce, le qual "
7,['Dese'],169,"ogni mioima inoodation rompeno, et de dita ope- "
8,['Dese'],169,o a proveder per la indennità di ditte Lacune no- 
9,['Dese'],169,Ire e( cercar de lontanar le acque dolce più sia pos- 
