,Place,Column No.,Paragraph
0,['Adige'],32,"Vene il Legato dil Papa episcopo di Puola per eoeae parUcohr di beneficii eie. In questa matina, introe Avogador di Comun  sier Nicolò Salamon, qual é stato fin bora a intrar.  Eri, in le do Quarantie criminal e dvil vediia,  per aver impala, fo menalo il caso di quello anuizù  in leto quelui di Sani Aponal, el ha la sententia fata.  Qual li avochati lo scusano aver un salvo conduto  fato per sier Domen^j^ Cootarini provedador dim  zeneral, ma non però soUoscrito da lui, et li avocati  lo difendeno stante il salvooondulo etc« Andò la  parte, poi disputato il caso: 26 che la leze sia exe-  guita, 35 di no, 18 non sincere. Questa matina ve-  ramente li Avogadori mudarono parte, et messeno  di darli la pruova el sia examinato sier Domenego  CoQlarini. Ave 44 de si, 30 di no, 4 non sincere e  fu preso. "
1,['Adige'],32,"Fo sento ozi per Coiaio a aier Andrea Foscolo  podestà el capitano di Crema, havendo per sue in-  teso quelli di la terra si ha oferto contribuir ducati  400 per uno terzo per coprir e reparar li torioni di  la terra, ne piace assai, laudandoli molto. Però sii  solecito a sooder, et far lo eflkdo. "
2,['Adige'],32,"Fo scrilo a sier Alvise Contarini capitano di Pa-  doa in risposta di soe, che volendo far uno alveo io  mezo h Cosa dove se ha a fondar la cortina dil muro,  semo contenti lo fazi, havendo conseglio di bomeoi  pratici ; etiam fazi riconzar quel loco dil bastion  Gradeoigo minaza mina. "
3,['Adige'],32,"Fo scrilo a i reclori di Verona, dagi ducati 30 a  sier Piero Boidù per reparation di arzeri di TAdexe,  aziò fazi far provisioo a le inoudatioo eie. "
4,['Adige'],32,"Da poi disnar, fo Pregadi. Fo leto le letere da 18*  Franca, di Oratori^ di 21 e dil Surian di 20,  et di Milan ; item "
5,['Adige'],32,"IH Palermo, di sier Pdegrin Venier, di 18.  Come la impresa di Zerbi par sia difficile. N'é zooli  de li molti feridi; et altre particularilà. La raoolta di  formenli vanno bene. Su^icha si scriva a V Oraior  nostro in corte in recomandation di loro Venieri, per  la lite hanno con il cardenal San Vidal in Rota eie. "
6,['Adige'],32,"Di Napoli y di Hironimo Dedo secretario fo  leto le letere che l'ultimo Pregadi non fo lete. Come  le fuste sie, do galie, uno briganlin di mori e turchi,  a Rezo haveano fato danno assai. Jtem, che Napoli  é in confusion con poclta ubedientia, et quelli jr^geoti  haveano retenuto tre trovati la note, et posti io certa  chiexia, per menarli poi in presoo; par siano veouU  40 armati e tolti per forza fuora, non obslaote li  custodi el altri che li si opposeno. Item, manda una  letera di don Ugo di Monchada capitano a l'impre-  sa di Zerbi, scrive a Paulo Tolosa de il suma-   rio scriverò di solo. "
7,['Adige'],52,"Fu portate in Colegio le docope il n di BkM^ ria donò a sier Alvise Don dolor, orator nostro, e h  cadena d^ori donò il re d* Ingaltera a sier Sebasltan  Justinian el dotor, orator nostro, le qual cosse 9 voi  vender et dar li danari per pagar il Monte Nuovo,  perdìé li fo prestato a la Signoria sopradifa da dìclì  Provedadori sora il Monte Nuovo. "
8,['Adige'],52,"In questa matina in le do Quarantie, per il eaao  di Pario, compite di pariar domino Peiro di Oxom-  cha per quel Francesco Summaripa, il qoal fo ex-  pulso del dominio di Andre. "
9,['Adige'],52,"Da poi disnar, to post prandium et parlò do-  mino Ttìomaso Zanachin dolor, avoctiato dil dada  di Nixia, per il qual e Zaneto da Millo, dito signor  ha nome Zuan Crespo, dicendo a lui li vien il domi-  nio come ducha di T Arzipielago, et compite di  parlar. "
10,['Adige'],52,"Andò a veder i lidi e la fosa sier Loca Tmo,  sier Daniel Renier e sier Pandolfo Morexini depola-  di per il Consejo di X, et sier Antonio Gondulmcr,  sier Gasparo Malipiero el sier Marin Morexini pro-  vedadori sora le aque, con homini pratici etc. E tor-  nono a caxa a disnar. Veleno la fosa qoal è larga  passa %, longa 500, e dà aqua pie 9 per la terra.  Auderano poi a veder il resto ; la qual fosa è mollo  pericolosa a inlrar navilii. "
11,['Adige'],52,"Da poi disnar, To Colegio dil Principe, Consieri,  Savii con li Cai di X, el alditeno per la causa si dia  menar in Qiiarantia di una sentenlia fata in Cypro  contra il qu. sier Hironimo JusHnian qu. sier Ferigoi,  qual dovendo portar il presente al Soldan si *l lene  per lui etc, et la dona si voi pagar di la soa dote di  beni venduti, et messi in h Signoria per sier Zuan  Dolfin, sier Nicolò Michiel dotor, oKm Consieri io  Opro. El prlono li avochati soi, sier Carlo Gonlari-  ni et Rigo Antonio, et per la Signoria, interveneiido  il fischo. Santo Barbarigo. Et poi partalo femmiar  sta cossa nel Consejo di X. "
12,['Adige'],52,"Fo scrito, per Colegio, al Golateral nostro: hudar  la opinion sua in far la monstra a la fin dil mese nd  colognese a li condutieri alozdti di qua di TAdexe, e  a quelli alozati nel brexan, bergamasco e cre ma sco  farta a Gedi. E però debbi far dar il quartirool se-  condo a tutti, aziò siano in ordine. "
