,Place,Column No.,Paragraph
0,['Bergamo'],36,Castelan di la rocba di Bergamo. 
1,"['ItalU', 'Bologna']",78,"A Bologna ha tempesta e fato gran danno, et  eus^ in Lombardia. "
2,"['ItalU', 'Bologna']",78,"A di 7 del mese di Zugno 1530, che fu la festa  dil Corpus Domini^ fu fata la prima visita de li do  serenissimi re di Pranza et Ingaltera, sopra una cam-  pagna situata tra li casteli di Andre dil re di Pranza  et Guines del re d' Ingaltera. El Christianissimo re  di Pranza comparse richamente vestito de uno sa-  giiond*oro richamato d'oro tirato, molto rìcho;  sopra il saglione havea a modo de una sborgnia  d'oro paonazo rechamato, con uno brazai de man^a  per el qual meteva fuora el brazo sinistro; da Taltra  banda, zoé da la dreta, era gitalo sopra la spala. Avea  nel petto molte zoje de grandissimo precio, et cussi  a la bareta, la qual era di veludo negro con penachi  n^ circundata. Cavalchava Sua Maestà uno belis-  simo cavalo tutto o^ro, grande, et molto ricamente  guemito de una coperta che li andava drieto la  gropa in foza de barde, tutta rechamata di perle et  altre pietre preciose, et era tutto V altro fornimento  del cavalo richo et pomposo. Avanti Sua Maestà, el  Gran maestro di Pranza, cum li maestri et oficiali  di la casa dil Re, da poi questi andavano tutti li zen-  tilhomeoi dil Re; et poi li pensionari. Tutti li pre-  nominati andavano a duo a duo in paro, et dietro  andava la guarda de li 300 sguizari et lanzinechi ^  piedi; poi avanti al Re andavano alcuni zeutilho-  meni favoriti de camera sua, tutti vestiti d*oro et  d*arzento a diverse foze, secondo la lor fantasia ; et  apresso al Re, immediate avanti a Sua Maestà, an-  dava el Gran scudiero, cl^ portava acanto cinta la  spada del Re, et era vestito d' arzento soprarizo et  tirato, sopra uno cavai torcho liardo, richamente  guarnito ; et a le bande erano li portieri de la ca-  mera eum riche maze d* argento in mano, et tutti  erano vestiti con saglioni de veludo inquartati d*oro.  Poi seguitava la Maestà dil Re ornato ut supra :  a canto al quale lo illustrissimo dueha di Barbon  gran contestabele de Pranza. £t cambiò tre cavali  belissimi , et tutti a diverse foze guemiti de ricbi  fornimenti. Lui bavea in mano una spada nuda, la  qual leniva cum la penta in suso, che é la inasgna di  Toffiaio suo, et ia persona sua era veduta 4e uno saglioD d*oro rìzo el soprarìzo de rechamo inquarMo, et cavalcando sovente se acostava a la MaestàMo, et cavalcando sovente se acostava a la Maestà del Re, et parlava con lui. El inedemo faceva monsignor TArmirajo, el qaal era vestito de uno saglionsignor TArmirajo, el qaal era vestito de uno saglion d*oro et d'arzento soprarizo inquartato, et imberlato de certi Trisi mollo rìcbi, et recami, con bele zqjelato de certi Trisi mollo rìcbi, et recami, con bele zqje et perle a la bereta, et havea atacbato al colo con un ricfaissimo sbalzo uno fischieto a modo de uno da coroìto. d'oro grando, che pareva uno cometo, et adobato di zoje, che è la insegna di roflizio suo, et 49 * h ligatura del ditto fischieto era atacbato al sbalzo, havea un grosso carbon, che pareva ardesse, tanto era bello, et uno San Michiel, che é la insegna di Tordene del Chrislianissimo, fatta de zoje et perle de ìnextimabel predo. CI ditto era sopra uno cavallo bagio non mollo grande, ma tanto l^[iadro che con il pendo non se potria far el più bdlo, oltra che Tera   passare, se havea posto per vederlo b SerenissiiDa regina et la ìllustrissinia Madama, eoo gnndissiiiio numero de signore el priodpesse, et qiaodo k Cristianissima Maestà fo davanti Madama» ossilostianissima Maestà fo davanti Madama» ossilo di Tordene, andò avanti a lei cum la barela, et quella parlato per spado assai booo, sempre eum h bareta in mano. Da la qual habuto la soa beoedition^ se aconbiatò, et iatoli revereotia, oootiouò dtion^ se aconbiatò, et iatoli revereotia, oootiouò d suo camino, et pian piano andò fina al Iodio di Tabochamento; et di eontinoo venivano de li signori et zentilhomeni anglid ad incontrar h Maestàgnori et zentilhomeni anglid ad incontrar h Maestà Sua et honoraria, mandati dal Sereoissimo re d'Io, gallerà. Medesimamente, Sua Maestà mandava akri signori et zentilhomeni de li soi inooolra a la Mff^ ià del re de Ingaltera. Cavalcando sempre, andava da le bande li capiUoi de li arcieri dd Re con moosignor de la Tramoglia et monsignor de h Pdia,signor de la Tramoglia et monsignor de h Pdia,    richamente fornito. Immantinente drìefo al Re,s^i- 1 li qual coreano per la campagna a Gur releoir et star    uO    lava lo illustrissimo ducha de Lanson suo cugnado, vestito di oro rizato, sopra uno bello cavalo, acanto al quale, a banda destra, li ambasadorì dil Papa. Apresso svitava lo illustrissimo ducha di Lorena. Acanto a lui, pur a destra, lo ambasador de lo Iroperator. S^ita%*a poi el ducha de Vandomo, del san-rator. S^ita%*a poi el ducha de Vandomo, del sangue regio, acanto al qual, pur a parte destra comegue regio, acanto al qual, pur a parte destra come erano li soprascritti ambasadori, uno de li oratori veneti. Da poi v^iva mons:gnor di San Polo, zoé Contestabele de San Polo, fradelo de lo anteditlo ducha de Vandomo, et con lui era Tallro ambasador deVénetia. Svitava poi monsignor de Roal et monsignor de Ludrech suo zenero, li qual anda\'ano al paro per non si preceder Tuno a 1* altro, et inno al paro per non si preceder Tuno a 1* altro, et in mezo a loro vi era V ambasador dil ducha di Ferirà. Da poi vegniva uno fradelo dd ducha di Lo-irà. Da poi vegniva uno fradelo dd ducha di Lorena, ctfffi lo ambasador de Mantoa ; et seguitavanorena, ctfffi lo ambasador de Mantoa ; et seguitavano molti altri signori tutti vestiti d'oro et d'arzento, chi ad una divisa et chi ad un'altra, et tutti questi erano rizi et soprarizi, d non era alcuno che havesseno rizi et soprarizi, d non era alcuno che havesse restagno semplice, che tutti erano rizati et ori tirati, de li quali ne era uno grandissimo numero. Et tutti sopra belli cavali gajardì, sfozati et cum ricbissimi fondmenti, et parca che lutti questi cavali andaseno baiando, slanzandosi in aere, che era cosa maravegliosa. Ultinuimente poi venivano a cavalo li arcierigliosa. Ultinuimente poi venivano a cavalo li arcieri de la guarda del Re, tutti vestiti de la solita livrea de Soa Maestà, eum d soprascrito ordene, sonando sempre trombe, pifari, cometi et altri vari instnimenti musiri, che rendeano grandissima armonia.menti musiri, che rendeano grandissima armonia. Usrita la Maestà dil Re rum questa compagnia fuori di Ardre, a zercha bore 31, apresso la porta de foori de la terra per la via che 'I Re baveva a"
3,"['ItalU', 'Bologna']",118,"In quelle di B&ma è queste particularità più di  quello ho scripto, videlicet che *1 Papa dava Ugii-  bio e San Leo a Fiorenza, con dir fiorentini li dava  danari, per unirli a quel Stado. Item, die quel mon*  signor di Molerà venuto ul Papa, bavia roportà li  tratanoenti fati col re d* IngaKera, e si dice etiam  per invitar il Papa a esser a pariamento con il Cbri*  stianissimo re a Bologna, il qual vien a Lion, poi a  Milan. "
4,"['ItalU', 'Bologna']",149,"< Uno Bernardo Timone Amardo Nigrìsole ile- 9 rarese, Jacomo barba dil dito Bernardo, et Anlooio fam^io, banditi di Ferara et Mantoa per ImMori et bari, se sono reduti ad habitar in Are, el feoe wlo domino Federico Henrieo de Riperia manhese di Ttelfa per andar in peregrinazo con boaww 14, parte di qual cavalchavano continuo con Ini el |arle andavano inanzi, perchè *1 ditto Marcbexe non volet esser conosuto, venendo da Verona per andar -a Manloa, a di 4 over 5 di de... 1519, uno migUo Ioqtan di Verona, trovoeeldiio Bernardo TimoD vestilotan di Verona, trovoeeldiio Bernardo TimoD vestilo da merchadante sopra uno cavalo biancho beo in ordine, fenzè esser napolitano, parlando napoMano et spagnolo, et acompagnose con ditto Marcbexe risonando varie cosse. Et loquace ei mollo iaeeUv dsonando varie cosse. Et loquace ei mollo iaeeUv d rasonando che cosa nova li era, lui disse cbe 1 Vmktefice volea ogni modo far bona amidtia col reditefice volea ogni modo far bona amidtia col redi Spagna et altre parole. El cussi procedendo, iacootrorono in uno stafeta a piedi vestilo da eorvier» eltrorono in uno stafeta a piedi vestilo da eorvier» el qual correa di tutla corsa, e ditto Bernardo fase bak admiralìon di questo, et lassatolo passar nn poeo olirà, da poi lo chiamò, e il ditto Marcbexe Y al feeeirà, da poi lo chiamò, e il ditto Marcbexe Y al feee chiamar da li soi cbe 1 si aflermasse, et dicesae quello era di novo. £1 qual rispose : signor, io ve dico giM, e II mandiiva a donar un carbouo di valuta di  gran qoanUUi di danari ; el qual carbon é stato perso  in una stalla « Bologna^ e colui che T ha trovato s*è  fugalo» e dixe li contrasegni de quel tal che 'I dicea  cheJiavea trovato el carboncok) et portato via; et  ohe 1 Poot^ce havia spaiato piti starete per inque-  rir di questo tal ; et che Soa Santiti voleva che chi  Tivea (osse ritenuto né offeso perché la zogiia non  perdesse la sua virtù, la qual dicea havea in se gran  virtute ; ma che tanto quanto si poteva acordar con  lai che 1 havea, tanto se li dovesse dar, che Sua San-  tità li dark quatro volte piiL Da poi le qual parole,  dito eorier sequite il suo viaggio. Da poi circha un  flaigiio, seontrorono una altra stapheta a cavalo de  cofsa, el qual replichò questo instesso, dagando una  curia dil Pontefice con le bolle in la qual erano di-  vani premii a quello tal recuperava ditta zogiia ; la  97 * qaal kssò al ditto Bernardo, e dicea averne assai  simile da lassar in qua et là. E procedendo circha  do Biglia, vene a la traversa per alcune biave uno a  piedi tutto smarido, scolorito et timido, el qual pro-  cedo lutto tremando per la strada, et a li s^ni ha-  vaano date le starete, era qaello die havea la zogiia.  Et Bernardo lo mostrò al Marchese, et conduseno  esser quello» et li andorono incontra, et foli fato pau-  ra ; ^ da poi diverse cose, fenzando aver paura et  demandando la vita» disse haver la zogiia, et se cavoe  di peto una cassetina de cuojo streta con una chiave,  la qual aperta, ditto Bernardo la aperee et un podio  la moostrà et poi la serrò dita cassela, facendo una  akgresa grande, et cussi tutti si alegrorono. Imme-  diate, dito Bernardo messe man a la borsa e li dete  ducati 10 et uno anello di valuta di ducati 10» e non  oontentaodoee dito trufador, el Marahese predito li  date duo^ 340 et una capa di pano, e perché Fan-  dame via e fusse securo, el ditto Marchexe volse  burlo aeompagnar da alcuni di soi. £1 ditto Ber-  nardo disse: € Lassate far a me, che io so el paese,  lo aeompagoerò in loco securo, cavalcate avanti che  io Ti aggiuogerò > et cosi tolse in gropa quello tale  el andorono in malora. Unde poi ditto Marchese a  di 18 Oottobre 1519 dete querela a la Avogaria di  oomun pregando esser sufragato> et a di 17 Novem-  brio io Quarantia criminal fu preso che '1 dito Ber*  nardo ISoum^ preso in Are et mandato di qui a le  prexoo, sia ben retennto, coiegìato etc.: 36, 1, 1.  Ei il Golegio toehò a sier Alvise Mocenigo el cava-  liar, sier Nieolò Bernardo coosieri, sier Bernardo  Diodo eao di XL, sier Francesco Morexini avoga-  dor di Comun, sier Hironimo Tiepolo et sier Anto-  nio Michiel Signori di notte. L* habito avia dito sier Bernardo quando fu trovato dal Marchese, era quello vestito di negro convato dal Marchese, era quello vestito di negro con uno sajo negro, cabse bianche con stivali con una spada da do man a lai deslroj in testa una barella n^ra con meza volta, con un pocho di barba negra, et havea su V arzou davanti un feltron bianchogra, et havea su V arzou davanti un feltron biancho et uno capello con una bolzeta di cuoro, et era grande di statura, membruto, et distante zercha uno miglio di Villafranca segui il caso. L*altro avea un sajon negro, una bareta rosa, uno capei biancho, una calza biancha, di eia d'anni ^5."
5,"['ItalU', 'Bologna']",168,"Disse, il Re averli ditto : e Orator, io bo 1 Stado  di Milan in Italia; si 1 redi Romani d tolesse, k>ho  tanti regni di qua da monti che mi basta; on si I  volesse el Stado vostro da terra, noo ave altro, part  bisogna che uniti siamo a la conservalioo di quatto ».  Disse averli ditto che certo el voi veoir a Lioo, et  se il Papa li tq;nirà vera a Bologna a parlarli, sì per  ratificar li capitoli feno insieme lì a Boiogoa et alren-  zerli più, come per darsi reputation; e par il Aipa  vadi protraendo, e si 1 vien a lioo, vera t Uiho e  Bologna, poi a veder Mantoa e Ferara, die ba desi*  derio di veder qudle terre e più di vegnir ammno  a veder questa terra ; siche se *1 vien a BoiqgDa certo  el vien de qui. "
6,"['ItalU', 'Bologna']",276,"et eavalier, orator no$h% dateaSamlh^a di  6 Septembre. Come a di 3 ha rieefole ooaire di 6,  con rii^aliar il reverendissimo OmlÌDal di boa  oficio fece in le visite de* reaK eie.; et di lapedi podi  a camino, a doman soa signoria zonzera de D dii  parlerà. É venuto de lì uno orator dil Re, va i»  Pranza per dissuader al Re l'andata di quella Maestà  in Italia per abbocarsi con il Papa a Botogna, d "
7,"['ItalU', 'Bologna']",276,"Dil dito, di 7. Scrive coloqui auti eoo dito re-  verendissimo cardinal Eboracense, nograliaodob  dil bon officio fece; e di tapedi, soa sigoorii a que-  sto volse saper il numero. Pòi disse sempre ha fato  e fari bon officio per la Signoria. Et il Re ba  dato uno orator a la dieta in Aquisgraoa per  lenir la pace col re Cbristianissimo e la Signoria  stra ; e quella Irata si concludi ; ne é per mancktr  di questo bon offilio. Poi disse é mal il  Simo re vadi in Italia, fari sussitar guera.  non é con lui ; e altre parole di questa subslinlia. E  disse, se li tapedi fosseno zonti in Anversa faria brevi  per non pagar li dadi, dicendo per questo fari pii  bon offitio per la Signoria, mejorandola in masor  cossa. "
8,"['ItalU', 'Bologna']",447,"Di Soma, di P Orator nostro^ di 26. Come ricevete nostre letere di 7 et 14 con le nove de la CO Minio, e li sumari di Constanlinopoli di la morte  di! Signor luteo e senlar el fiol paciGco, el essemlo  il Papa a le st»li(e caze, mandò el suo Secretano dal  Papa con dite letere a comunicbarle a Soa Santità.  Al qua! lelo li avisi, il Papa li piacque ìnteoderliy di-  373 * cendo ringraziasse TOrator e la Signoria nostra, lau-  dando la election di TOrator, qual V a conosuto homo  de pnidentia et desterità. Poi Soa Santità é venuto  a la Ifagnana, e li reverendissimi car^ienali andati  con Soa Beatitu line tutti è ritornati in Roma, ex-  cepto el reverendissimo Medici, qua! é rimasto col  Papa. E il signor All)erto da Carpi con monsignor  di San Marzeo e andati a la Magnina dal Papa a  exponer Tarobasata de dito San Uarzeo. Tamm lui  Oralor tien il Papa la sapi, e vederi de intender e  a^iserà quei sarà. El cardenal Medici, quando parti  da Firenxe per andar dal Papa, vene coi Vitelli in  eompagoia et altre zente d*arme e arteiarie, sioome  volesse andar in campo, et erano da cavali 1500 ar-  mati, zoé di zente d'arme, e questo per dubito dil  signor Camillo Orsini; ma si dice d signor Renzo di  Core è eausa di meter questi sospetti al Papa per es-  serli pid in gratia. Monsignor di Pin orator dil Cri-  stianissimo re, qual andò dal Papa, (o perché visto  il Re tennena fortitichar Milao e spender ducati 300  milia in questo modo, 100 mila il Re, 100 milia la  terra et 100 milia il clero, per impetrar dal Papa  poasi poner tal angaria al clero per ditto efecta Par,  il Papa li babi risposto, zonto a Roma, vederi eie  Di Alemagna é avisi di le noce dil fradelo di la Ce-  sarea Maestà in la sorela dil re di Hongaria, che Tlm-  perador dovea taorla lui per moglie ; el qual cede il  slato de l'Austria tutto al dito suo fradelo e dà soa  sorela per moglie al re di Hongaria, e Soa Maestà  Cesarea tori la fia dil re di Portogalo, con dola du-  cali on mHion, e altri dicono più numero. Etiam è  aviso di 5000 sguizari richiesti per il Papa a li can-  toni di sguizari, e li voi far venir su quel di Bologna;  e come h dieta imperiai é sta rimessa a (aria questo  Fevrer; e di tumulti di Spagna che ^-anno avanti, et  che si tien r Imperador tornerà in Spagna per aque-  larii; el anche li Elelori alemani contentano d tomi  m Spagna. La l^lion di Perosa, vachala per h  morte dil cardenal Bibiena, il Papa l' ha data al car-  denal Cortona; vai ducali 3000. Domino Zuan Pran-  eeaco Vaiier, fo in Pranza per nome dil dito carde-  nal Bibiena per aver il possesso dil vescoado di Co-  stanza, nulla ha potuto obtenir per il Re; inlese ditto  cardenal stava mal. Scrive, il breve dil cardenal epi-  scopo di Tolosa, il Papa l'ha mandato in man di soi  agenti é in Pranza, perchè voi avanti lo dagi adalar certe diOerentie Tha per la legation di Pranza. li scrive esso Orator, haver ricevuto nostre letere di i in materia dil Gixi, per far far la retìGchalioo di Ta cordo. Mandò ad Sigismondo Gixi Nicolò di brieli suo secretario, qual K disse era coolciilo farla; et cussi che l' ha fata da poi li mandò a diri le manda al suo comesso Bezalù la aprescoli elfi."
9,"['ItalU', 'Bologna']",448,"JXl dito, di 27, Come ricevete nostre  zercha li doclori do da venir a ìaet t Fadm»  una zercha lo episcopo di Ossero, per h  di do dìiese eie. Prima, quanto a li do dolori,  dò per lo Ispano, e d itoli fai ddibetatioii,  ria ducati 300 avanti Irato, e verta per  resima. Li rispose la Signoria non dà avaolì  a dolori, poi é longo tempo a venir, e lì  partiva ; el qual aedo di venir, ma voi iieeolia éà  Papa, qual non dubita di obteniria. JfaM, parlò al  P^risio, qual aodò li fiorini 550 el parliri syWii^  brà la via di Fiorenza e Bologna per menar «ni  se scolari a Padoa. Mandò il predilo IQcolò di Ga-  briel da lo episcopo di Ossero, qual era aoubion  più zomi. Disse é bon servitor di la SijgpQffìi^ il  é contento de ditta coiatioo ha fato il suo fiGHÌa^  al qual in bona forma li scrive. Scrire^ coat d  maestro di caxa dil Ripa manda a la Sjgiiorìa m-  stn uno Bernardin Zachareio da kaob, ha carta  causa, intervenendo Verona e Ugnago. Pregi i m  reoomandata Par habi diOerentia con li frati di  Zorzi di Àlega eie. "
